City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hobart,AU,-42.8794,147.3294,55.06,85,4,1.01,clear sky
1,Deputatskiy,RU,69.3,139.9,-21.35,73,68,3.42,broken clouds
2,Avarua,CK,-21.2078,-159.775,78.85,89,75,13.8,broken clouds
3,Dikson,RU,73.5069,80.5464,4.48,93,100,17.0,light snow
4,Fortuna,US,40.5982,-124.1573,49.93,97,20,5.01,few clouds
5,Henties Bay,NA,-22.116,14.2845,71.85,84,63,5.61,broken clouds
6,La Ronge,CA,55.1001,-105.2842,-5.58,71,75,8.05,broken clouds
7,Kahului,US,20.8947,-156.47,69.84,88,1,6.91,clear sky
8,Hermanus,ZA,-34.4187,19.2345,69.91,78,0,4.81,clear sky
9,Rio Grande,BR,-32.035,-52.0986,93.31,73,13,15.39,few clouds
10,Qaanaaq,GL,77.484,-69.3632,5.0,60,99,7.45,overcast clouds
11,Albany,US,42.6001,-73.9662,29.44,57,69,4.0,broken clouds
12,Geraldton,AU,-28.7667,114.6,68.41,73,0,4.61,clear sky
13,Rikitea,PF,-23.1203,-134.9692,78.4,75,100,9.33,overcast clouds
14,Rio Cuarto,AR,-33.1307,-64.3499,82.17,61,40,16.11,scattered clouds
15,Axim,GH,4.8699,-2.2405,81.91,61,70,6.91,broken clouds
16,Busselton,AU,-33.65,115.3333,79.09,63,56,9.04,broken clouds
17,Butaritari,KI,3.0707,172.7902,81.7,75,73,17.63,broken clouds
18,Kathu,TH,7.9178,98.3332,78.62,74,7,8.08,clear sky
19,Barrow,US,71.2906,-156.7887,-18.38,69,100,6.91,snow
20,Mahebourg,MU,-20.4081,57.7,80.89,89,40,4.61,scattered clouds
21,Lubumbashi,CD,-11.6609,27.4794,64.33,95,84,2.53,broken clouds
22,Beloha,MG,-25.1667,45.05,71.46,76,100,11.68,overcast clouds
23,Muncie,US,40.1934,-85.3864,23.67,71,100,8.05,overcast clouds
24,Port Alfred,ZA,-33.5906,26.891,76.14,86,5,9.08,clear sky
25,Bechem,GH,7.0903,-2.025,82.08,23,77,2.59,broken clouds
26,Punta Arenas,CL,-53.15,-70.9167,69.82,45,0,6.91,clear sky
27,Gavle,SE,60.6745,17.1417,34.5,67,8,8.01,clear sky
28,Partizansk,RU,43.1258,133.1339,-0.78,85,6,6.15,clear sky
29,Seoul,KR,37.5683,126.9778,20.64,86,0,2.3,clear sky
30,Gwadar,PK,25.1216,62.3254,73.47,83,1,18.92,clear sky
31,Bethel,US,41.3712,-73.414,33.08,79,100,1.99,overcast clouds
32,Yulara,AU,-25.2406,130.9889,73.24,78,56,12.66,broken clouds
33,The Valley,AI,18.217,-63.0578,82.54,65,40,16.11,scattered clouds
34,Castro,BR,-24.7911,-50.0119,81.52,58,19,3.65,few clouds
35,Port Macquarie,AU,-31.4333,152.9167,64.36,77,99,11.12,overcast clouds
36,Arraial Do Cabo,BR,-22.9661,-42.0278,87.76,74,0,20.71,clear sky
37,Souillac,MU,-20.5167,57.5167,81.36,89,40,4.61,scattered clouds
38,Suclayin,PH,15.7568,121.5503,71.58,96,99,3.69,overcast clouds
39,Dalaba,GN,10.7,-12.25,76.96,14,58,5.35,broken clouds
40,Shubarshi,KZ,48.5872,57.1869,10.74,87,100,6.58,overcast clouds
41,Kuryk,KZ,43.2,51.65,32.9,92,100,21.27,light snow
42,Tuy Hoa,VN,13.0833,109.3,71.28,88,65,5.61,broken clouds
43,Atuona,PF,-9.8,-139.0333,78.64,76,64,24.05,broken clouds
44,Jamame,SO,0.0722,42.7506,78.12,81,21,10.98,few clouds
45,Ushuaia,AR,-54.8,-68.3,67.62,34,3,4.68,clear sky
46,Embonas,GR,36.2269,27.8564,44.83,70,26,3.91,scattered clouds
47,Saint-Philippe,RE,-21.3585,55.7679,80.15,82,66,5.08,broken clouds
48,Lavrentiya,RU,65.5833,-171.0,-21.21,92,26,9.19,scattered clouds
49,Quelimane,MZ,-17.8786,36.8883,73.56,85,44,5.84,scattered clouds
50,Ilulissat,GL,69.2167,-51.1,21.22,86,100,8.05,light snow
51,Kudahuvadhoo,MV,2.6708,72.8944,81.41,70,57,6.93,broken clouds
52,Nkhotakota,MW,-12.9274,34.2961,73.49,83,36,1.86,light rain
53,Pak Phanang,TH,8.3511,100.202,77.49,78,17,8.46,few clouds
54,Severo-Kurilsk,RU,50.6789,156.125,30.11,78,100,28.3,overcast clouds
55,Mataura,NZ,-46.1927,168.8643,54.48,96,100,7.47,light rain
56,Ketchikan,US,55.3422,-131.6461,42.78,93,100,0.0,overcast clouds
57,Ponta Do Sol,PT,32.6667,-17.1,68.13,41,100,16.89,overcast clouds
58,Springfield,US,37.2153,-93.2982,20.52,54,0,7.0,clear sky
59,Fukue,JP,32.6881,128.8419,46.29,67,100,16.2,overcast clouds
60,San Patricio,US,28.017,-97.5169,44.69,46,100,19.77,overcast clouds
61,Kapaa,US,22.0752,-159.319,69.78,100,0,6.91,clear sky
62,Torbay,CA,47.6666,-52.7314,43.75,93,100,23.02,light rain
63,East London,ZA,-33.0153,27.9116,79.74,78,0,8.05,clear sky
64,Vardo,NO,70.3705,31.1107,26.8,93,20,9.22,few clouds
65,Lebu,CL,-37.6167,-73.65,61.92,53,0,9.13,clear sky
66,Yellowknife,CA,62.456,-114.3525,-10.68,77,100,8.05,light snow
67,Cape Town,ZA,-33.9258,18.4232,71.28,63,0,5.01,clear sky
68,Bay Roberts,CA,47.5999,-53.2648,44.51,91,99,13.0,moderate rain
69,Quatre Cocos,MU,-20.2078,57.7625,81.09,80,89,8.05,overcast clouds
70,Faanui,PF,-16.4833,-151.75,81.32,78,100,22.28,light rain
71,Hithadhoo,MV,-0.6,73.0833,82.44,73,84,8.39,broken clouds
72,Provideniya,RU,64.3833,-173.3,-12.28,86,14,5.39,few clouds
73,Yumen,CN,40.2833,97.2,24.35,38,1,7.67,clear sky
74,Gornopravdinsk,RU,60.05,69.9,17.46,93,98,7.56,overcast clouds
75,Lagoa,PT,39.05,-27.9833,61.88,84,86,19.66,overcast clouds
76,Sioux Lookout,CA,50.1001,-91.917,-14.42,76,0,3.44,clear sky
77,Esperance,AU,-33.8667,121.9,58.84,88,1,11.07,clear sky
78,Pitimbu,BR,-7.4706,-34.8086,88.39,67,2,11.43,clear sky
79,Vaini,TO,-21.2,-175.2,81.61,79,6,19.13,clear sky
80,Mount Isa,AU,-20.7333,139.5,76.77,94,75,6.91,broken clouds
81,Shepsi,RU,44.0361,39.1489,33.91,65,74,12.53,snow
82,Coquimbo,CL,-29.9533,-71.3436,67.73,59,0,14.97,clear sky
83,Aksarka,RU,66.5606,67.7975,15.22,86,93,19.37,overcast clouds
84,Grand Forks,US,47.9417,-97.4337,-9.22,72,0,8.05,clear sky
85,Bredasdorp,ZA,-34.5322,20.0403,69.28,64,0,10.36,clear sky
86,Bud,US,39.447,-86.1758,24.82,66,65,9.78,broken clouds
87,Isangel,VU,-19.55,169.2667,78.93,89,75,9.04,broken clouds
88,Jamestown,US,42.097,-79.2353,19.09,51,100,8.01,overcast clouds
89,Santiago,CL,-33.4569,-70.6483,83.28,23,40,8.05,scattered clouds
90,Cabo San Lucas,MX,22.8909,-109.9124,76.51,72,100,1.01,overcast clouds
91,Chuy,UY,-33.6971,-53.4616,83.79,71,34,12.12,scattered clouds
92,Izhma,RU,65.0083,53.9113,16.81,93,100,12.73,light snow
93,Bluff,NZ,-46.6,168.3333,54.81,75,99,18.19,light rain
94,Dasoguz,TM,41.8363,59.9666,28.35,100,75,9.22,broken clouds
95,Roma,US,43.2128,-75.4557,18.52,58,0,14.97,clear sky
96,Magnolia,US,33.2671,-93.2393,35.28,34,100,10.49,overcast clouds
97,Tigil,RU,57.8,158.6667,-5.82,94,6,3.51,clear sky
98,Baley,RU,51.6,116.6333,-5.03,100,100,0.74,overcast clouds
99,Kodiak,US,57.79,-152.4072,24.31,80,0,3.44,clear sky
100,Kaitangata,NZ,-46.2817,169.8464,56.93,79,100,12.03,overcast clouds
101,Acajutla,SV,13.5928,-89.8275,87.8,51,4,8.61,clear sky
102,Omsukchan,RU,62.5333,155.8,-16.42,56,0,2.64,clear sky
103,Saint-Augustin,CA,51.226,-58.6502,11.07,92,100,7.23,light snow
104,Olafsvik,IS,64.8945,-23.7142,43.92,96,100,23.58,overcast clouds
105,Suruc,TR,36.9761,38.425,26.8,61,0,6.93,clear sky
106,Santiago Del Estero,AR,-27.7951,-64.2615,94.51,43,11,9.95,few clouds
107,Alta Floresta,BR,-9.8756,-56.0861,89.42,62,40,5.75,scattered clouds
108,Lompoc,US,34.6391,-120.4579,71.13,73,20,1.01,few clouds
109,Baykit,RU,61.67,96.37,10.51,97,99,2.86,light snow
110,Abonnema,NG,4.7084,6.7931,80.13,42,63,7.81,broken clouds
111,Sao Joao Da Barra,BR,-21.6403,-41.0511,87.89,80,15,11.74,few clouds
112,Abu Dhabi,AE,24.4667,54.3667,69.96,65,41,19.75,scattered clouds
113,Klaksvik,FO,62.2266,-6.589,43.72,87,100,23.76,overcast clouds
114,Berlevag,NO,70.8578,29.0864,33.8,77,87,33.04,snow
115,Akyab,MM,20.15,92.9,65.48,72,17,6.91,few clouds
116,Conceicao Do Araguaia,BR,-8.2578,-49.2647,87.84,56,63,4.54,broken clouds
117,Dunedin,NZ,-45.8742,170.5036,57.79,81,100,5.99,overcast clouds
118,Mount Gambier,AU,-37.8333,140.7667,62.51,67,0,6.91,clear sky
119,Bam,IR,29.106,58.357,55.42,45,0,4.56,clear sky
120,Salima,MW,-13.7804,34.4587,70.34,88,35,3.47,scattered clouds
121,Bonnyville,CA,54.2668,-110.735,2.52,88,100,13.09,light snow
122,Sijunjung,ID,-0.6876,100.9537,70.92,96,85,1.74,overcast clouds
123,Sitka,US,57.0531,-135.33,40.89,87,100,12.66,mist
124,Ketou,BJ,7.3633,2.5998,89.44,17,47,1.05,scattered clouds
125,Nikolskoye,RU,59.7035,30.7861,34.88,92,100,7.63,snow
126,Ancud,CL,-41.8697,-73.8203,67.53,65,68,11.12,broken clouds
127,Saldanha,ZA,-33.0117,17.9442,75.25,84,0,20.92,clear sky
128,Dolgoderevenskoye,RU,55.3444,61.3444,5.34,85,95,4.47,mist
129,Dali,CN,25.7,100.1833,39.79,87,63,5.41,broken clouds
130,Portugalete,ES,43.321,-3.0206,51.28,86,75,2.3,broken clouds
131,Victoria,HK,22.2855,114.1577,64.38,84,80,1.99,broken clouds
132,Hilo,US,19.7297,-155.09,70.25,90,100,0.0,moderate rain
133,Taksimo,RU,56.3444,114.8794,-17.99,95,25,0.81,scattered clouds
134,Pokhara,NP,28.2333,83.9833,52.05,62,95,3.44,overcast clouds
135,Abu Samrah,SY,35.3029,37.1841,37.31,73,8,10.22,clear sky
136,Saint-Pierre,RE,-21.3393,55.4781,80.24,88,75,2.3,broken clouds
137,Flin Flon,CA,54.7682,-101.865,-20.36,69,20,9.22,few clouds
138,Ugoofaaru,MV,5.6667,73.0,81.39,68,26,9.35,scattered clouds
139,Edgewater,US,28.9889,-80.9023,78.3,49,20,11.5,few clouds
140,Ankang,CN,32.68,109.0172,39.65,70,100,4.47,overcast clouds
141,Vallenar,CL,-28.5708,-70.7581,88.03,27,0,11.52,clear sky
142,Mehamn,NO,71.0357,27.8492,33.98,86,75,40.29,light intensity shower rain
143,Winona,US,43.9666,-91.7668,1.44,65,1,0.0,clear sky
144,Bonavista,CA,48.6499,-53.1147,41.11,89,100,24.83,overcast clouds
145,Mar Del Plata,AR,-38.0023,-57.5575,74.08,93,100,15.01,overcast clouds
146,Tasiilaq,GL,65.6145,-37.6368,30.36,97,100,21.03,snow
147,Mareeba,AU,-17.0,145.4333,72.45,94,100,1.72,overcast clouds
148,Banda Aceh,ID,5.5577,95.3222,77.77,77,15,3.89,few clouds
149,Tamandare,BR,-8.7597,-35.1047,84.72,64,9,8.63,clear sky
150,Saint Anthony,US,45.0205,-93.218,0.09,67,0,1.01,clear sky
151,Cherskiy,RU,68.75,161.3,-38.61,99,23,2.48,few clouds
152,Boa Vista,BR,2.8197,-60.6733,89.58,45,75,11.5,broken clouds
153,Georgetown,MY,5.4112,100.3354,82.89,90,20,1.99,few clouds
154,Chokurdakh,RU,70.6333,147.9167,-33.39,96,61,7.27,broken clouds
155,New Norfolk,AU,-42.7826,147.0587,54.72,73,14,2.95,few clouds
156,Upernavik,GL,72.7868,-56.1549,9.7,91,100,25.23,overcast clouds
157,Kungurtug,RU,50.5994,97.5228,5.92,97,100,1.81,overcast clouds
158,Sorland,NO,67.667,12.6934,30.27,68,100,29.37,light snow
159,Kavieng,PG,-2.5744,150.7967,79.39,80,100,11.23,overcast clouds
160,Casino,AU,-28.8667,153.05,73.15,94,94,9.22,overcast clouds
161,Mandalgovi,MN,45.7625,106.2708,7.81,76,100,7.09,overcast clouds
162,Hualmay,PE,-11.0964,-77.6139,76.37,74,58,13.09,broken clouds
163,Kalmunai,LK,7.4167,81.8167,73.81,69,84,6.08,broken clouds
164,Natchez,US,31.5604,-91.4032,35.04,77,100,17.27,overcast clouds
165,Pathein,MM,16.7833,94.7333,68.99,85,13,5.57,few clouds
166,Port Elizabeth,ZA,-33.918,25.5701,68.29,88,75,17.27,broken clouds
167,Dingle,PH,10.9995,122.6711,72.73,91,71,6.96,broken clouds
168,Mocuba,MZ,-16.8392,36.9856,70.63,97,53,4.18,light rain
169,Longyearbyen,SJ,78.2186,15.6401,10.24,79,20,2.3,few clouds
170,Vila Franca Do Campo,PT,37.7167,-25.4333,67.19,85,20,17.25,few clouds
171,Urumqi,CN,43.801,87.6005,18.55,100,75,2.24,light snow
172,Verkhoyansk,RU,67.5447,133.385,-38.92,97,41,1.1,scattered clouds
173,Mogadishu,SO,2.0371,45.3438,78.85,82,26,19.69,scattered clouds
174,Ribeira Grande,PT,38.5167,-28.7,66.6,72,20,23.02,few clouds
175,Aitape,PG,-3.1374,142.3475,76.71,91,100,1.9,overcast clouds
176,Samarai,PG,-10.6167,150.6667,80.26,81,98,12.1,overcast clouds
177,Tuktoyaktuk,CA,69.4541,-133.0374,-25.6,68,40,13.8,scattered clouds
178,Clyde River,CA,70.4692,-68.5914,-0.17,85,100,5.75,light snow
179,Cockburn Town,TC,21.4612,-71.1419,78.58,74,1,19.66,clear sky
180,Neyvo-Shaytanskiy,RU,57.7286,61.2496,14.52,93,77,7.76,broken clouds
181,Lakes Entrance,AU,-37.8811,147.981,53.58,91,6,4.76,clear sky
182,Nanortalik,GL,60.1432,-45.2371,28.78,88,100,19.69,snow
183,Tabas,IR,33.5959,56.9244,48.49,26,0,2.51,clear sky
184,Hvolsvollur,IS,63.7533,-20.2243,45.27,93,100,12.8,overcast clouds
185,Yendi,GH,9.4427,-0.0099,85.89,10,19,5.35,few clouds
186,Jalu,LY,29.0331,21.5482,55.94,46,7,2.3,clear sky
187,Sao Raimundo Das Mangabeiras,BR,-7.0219,-45.4811,87.13,56,26,4.54,scattered clouds
188,Saskylakh,RU,71.9167,114.0833,-22.56,99,50,5.99,scattered clouds
189,Wasilla,US,61.5814,-149.4394,27.52,89,100,4.61,overcast clouds
190,Nisia Floresta,BR,-6.0911,-35.2086,90.41,55,22,14.12,few clouds
191,Marawi,PH,7.9986,124.2928,65.64,92,100,1.79,overcast clouds
192,Beringovskiy,RU,63.05,179.3167,-20.96,88,5,11.16,clear sky
193,Labuhan,ID,-6.8844,112.2051,75.31,85,100,5.55,overcast clouds
194,Makat,KZ,47.6469,53.3463,26.37,96,100,10.47,overcast clouds
195,Auki,SB,-8.7676,160.7034,76.78,92,100,6.8,moderate rain
196,Kupang,ID,-10.1667,123.5833,76.42,89,100,8.23,overcast clouds
197,Puerto Ayora,EC,-0.7393,-90.3518,84.16,86,99,8.61,overcast clouds
198,Broome,US,42.2506,-75.833,22.17,67,20,5.01,few clouds
199,Nome,US,64.5011,-165.4064,6.87,66,100,11.5,light snow
200,Lufilufi,WS,-13.8745,-171.5986,76.78,79,99,23.51,light rain
201,Aksu,CN,41.1231,80.2644,26.51,44,1,3.0,clear sky
202,Avezzano,IT,42.0402,13.4388,43.12,88,100,3.0,overcast clouds
203,Juneau,US,58.3019,-134.4197,37.85,94,100,12.66,light rain
204,Baoro,CF,5.6667,15.9667,74.32,24,69,5.82,broken clouds
205,Champerico,GT,14.3,-91.9167,90.77,61,12,10.04,few clouds
206,Lugovoy,KZ,42.9472,72.7644,27.27,79,9,6.04,clear sky
207,Kabompo,ZM,-13.5927,24.2008,65.82,92,76,2.89,light rain
208,Girona,ES,41.9831,2.8249,53.35,72,20,1.01,few clouds
209,Sharya,RU,58.3686,45.5144,20.62,92,100,10.45,overcast clouds
210,Vila,PT,42.0304,-8.1588,49.08,79,4,4.41,clear sky
211,Pochutla,MX,15.7432,-96.4661,86.83,44,0,7.4,clear sky
212,Tucuman,AR,-26.8241,-65.2226,75.2,83,100,6.91,overcast clouds
213,Tiksi,RU,71.6872,128.8694,-5.3,84,100,14.29,overcast clouds
214,Turayf,SA,31.6725,38.6637,37.65,75,0,6.91,clear sky
215,Imbituba,BR,-28.24,-48.6703,91.29,67,1,15.64,clear sky
216,Santa Maria,BR,-29.6842,-53.8069,97.9,41,20,6.91,few clouds
217,Zhigansk,RU,66.7697,123.3711,-16.13,97,100,17.49,overcast clouds
218,Pozhva,RU,59.0912,56.0847,19.24,93,100,12.46,light snow
219,Rawson,AR,-43.3002,-65.1023,64.69,100,75,18.41,drizzle
220,Marsa Matruh,EG,31.3525,27.2453,55.6,62,40,4.61,scattered clouds
221,Santo Antonio Do Sudoeste,BR,-26.0736,-53.7253,97.7,25,28,1.95,scattered clouds
222,Westport,US,41.1415,-73.3579,34.41,84,100,1.99,light snow
223,Bambous Virieux,MU,-20.3428,57.7575,81.21,89,40,4.61,scattered clouds
224,Kattivakkam,IN,13.2167,80.3167,78.89,74,21,6.35,few clouds
225,Townsville,AU,-19.25,146.8,79.68,69,98,9.22,overcast clouds
226,Bengkulu,ID,-3.8004,102.2655,75.09,88,100,5.03,heavy intensity rain
227,Norman Wells,CA,65.282,-126.8329,-12.96,70,100,14.97,light snow
228,Khatanga,RU,71.9667,102.5,-13.56,93,99,6.26,overcast clouds
229,Marystown,CA,47.1666,-55.1483,41.86,100,100,5.01,overcast clouds
230,Alofi,NU,-19.0595,-169.9187,78.69,83,55,13.8,broken clouds
231,Hirara,JP,24.8,125.2833,65.46,65,96,18.99,overcast clouds
